codigo;estado;asignado;fechaUso
GU247-00I6;;;
GU247-00V9;;;
GU247-00X2;;;
GU247-01I3;;;
GU247-01M1;;;
GU247-01V9;;;
GU247-01W1;;;
GU247-01X1;;;
GU247-01Z5;;;
GU247-02I6;;;
GU247-02M1;;;
GU247-02R1;;;
GU247-02V7;;;
GU247-02X7;;;
GU247-02Z1;;;
GU247-03I9;;;
GU247-03R2;;;
GU247-03V3;;;
GU247-03W4;;;
GU247-03Z7;;;
GU247-04I4;;;
GU247-04M4;;;
GU247-04W3;;;
GU247-05I7;;;
GU247-05R3;;;
GU247-05W4;;;
GU247-05X3;;;
GU247-05Z1;;;
GU247-06I6;;;
GU247-06M7;;;
GU247-06W2;;;
GU247-06X8;;;
GU247-06Z4;;;
GU247-07M6;;;
GU247-07V4;;;
GU247-07W9;;;
GU247-07Z1;;;
GU247-08I7;;;
GU247-08R1;;;
GU247-08V3;;;
GU247-08W4;;;
GU247-08X4;;;
GU247-09I5;;;
GU247-09M3;;;
GU247-09V2;;;
GU247-09W9;;;
GU247-09X4;;;
GU247-10V9;;;
GU247-11R5;;;
GU247-11X3;;;
GU247-11Z8;;;
GU247-12R5;;;
GU247-12X9;;;
GU247-13I5;;;
GU247-13R4;;;
GU247-13W4;;;
GU247-13Z1;;;
GU247-14M4;;;
GU247-14R1;;;
GU247-14W7;;;
GU247-14Z9;;;
GU247-15V2;;;
GU247-15X6;;;
GU247-16I7;;;
GU247-16M5;;;
GU247-16V7;;;
GU247-16X3;;;
GU247-16Z2;;;
GU247-17M3;;;
GU247-17R3;;;
GU247-17V9;;;
GU247-17W6;;;
GU247-17X4;;;
GU247-17Z3;;;
GU247-18M2;;;
GU247-18V6;;;
GU247-18W6;;;
GU247-18Z1;;;
GU247-19M2;;;
GU247-19R1;;;
GU247-19V7;;;
GU247-19W3;;;
GU247-19Z1;;;
GU247-20I1;;;
GU247-20M7;;;
GU247-20R2;;;
GU247-20V8;;;
GU247-20X4;;;
GU247-20Z5;;;
GU247-21M2;;;
GU247-21R9;;;
GU247-21V4;;;
GU247-21X6;;;
GU247-21Z2;;;
GU247-22R5;;;
GU247-22V1;;;
GU247-22W2;;;
GU247-22Z8;;;
GU247-23I2;;;
GU247-23R7;;;
GU247-23V7;;;
GU247-23W6;;;
GU247-23X7;;;
GU247-24M5;;;
GU247-24R8;;;
GU247-24V9;;;
GU247-24W4;;;
GU247-24X4;;;
GU247-25Z4;;;
GU247-26R2;;;
GU247-26W4;;;
GU247-26Z8;;;
